text,label,notes,source
Fire ad,reaction,"Emotional response, joke, or fan reaction",r/nba - Nike ad celebrating the Knicks title
great work!,reaction,"Emotional response, joke, or fan reaction",r/nba - Nike ad celebrating the Knicks title
Absolute fucking bar.,reaction,"Emotional response, joke, or fan reaction",r/nba - Nike ad celebrating the Knicks title
HUGE ASS STAR,reaction,"Emotional response, joke, or fan reaction",r/nba - Nike ad celebrating the Knicks title
Ron Baker gang,reaction,"Emotional response, joke, or fan reaction",r/nba - Nike ad celebrating the Knicks title
This is hard.,reaction,"Emotional response, joke, or fan reaction",r/nba - Nike ad celebrating the Knicks title
WE DID ITTTTTTTTTTTTTTTT,reaction,"Emotional response, joke, or fan reaction",r/nba - Nike ad celebrating the Knicks title
Don't forget Andrea Bargnani,reaction,"Emotional response, joke, or fan reaction",r/nba - Nike ad celebrating the Knicks title
Double fisting churros maybe,reaction,"Emotional response, joke, or fan reaction",r/nba - Nike ad celebrating the Knicks title
Hahahah makes complete sense,reaction,"Emotional response, joke, or fan reaction",r/nba - Nike ad celebrating the Knicks title
I can't believe it.,reaction,"Emotional response, joke, or fan reaction",r/nba - Nike ad celebrating the Knicks title
I loved this commercial,reaction,"Emotional response, joke, or fan reaction",r/nba - Nike ad celebrating the Knicks title
I worked on this!,reaction,"Emotional response, joke, or fan reaction",r/nba - Nike ad celebrating the Knicks title
It's complicated: Carmelo Anthony,reaction,"Emotional response, joke, or fan reaction",r/nba - Nike ad celebrating the Knicks title
Incredible break down thank you,reaction,"Emotional response, joke, or fan reaction",r/nba - Nike ad celebrating the Knicks title
"Meh: Quentin Richardson, Tim Thomas",reaction,"Emotional response, joke, or fan reaction",r/nba - Nike ad celebrating the Knicks title
You and me both brother,reaction,"Emotional response, joke, or fan reaction",r/nba - Nike ad celebrating the Knicks title
they aint even workshop one,reaction,"Emotional response, joke, or fan reaction",r/nba - Nike ad celebrating the Knicks title
this is cinematic as hell,reaction,"Emotional response, joke, or fan reaction",r/nba - Nike ad celebrating the Knicks title
And nas if we feeling nasty,reaction,"Emotional response, joke, or fan reaction",r/nba - Nike ad celebrating the Knicks title
Brought me to tears. Happiest tears.,reaction,"Emotional response, joke, or fan reaction",r/nba - Nike ad celebrating the Knicks title
Did the Safdie brothers direct this?,reaction,"Emotional response, joke, or fan reaction",r/nba - Nike ad celebrating the Knicks title
Gotta watch the 2024 one first,reaction,"Emotional response, joke, or fan reaction",r/nba - Nike ad celebrating the Knicks title
Josh Safdie directed the ad lol,reaction,"Emotional response, joke, or fan reaction",r/nba - Nike ad celebrating the Knicks title
"Sweet prince: Amare Stoudemire, Jeremy Lin",reaction,"Emotional response, joke, or fan reaction",r/nba - Nike ad celebrating the Knicks title
The missing tooth is chef’s kiss,reaction,"Emotional response, joke, or fan reaction",r/nba - Nike ad celebrating the Knicks title
Wieden and Kennedy! My dream job,reaction,"Emotional response, joke, or fan reaction",r/nba - Nike ad celebrating the Knicks title
Ben Stiller confirmed Josh Safdie directed it,reaction,"Emotional response, joke, or fan reaction",r/nba - Nike ad celebrating the Knicks title
It's 5050. It's either Frankie or Joel.,reaction,"Emotional response, joke, or fan reaction",r/nba - Nike ad celebrating the Knicks title
Man I barely fucking slept last night,reaction,"Emotional response, joke, or fan reaction",r/nba - Nike ad celebrating the Knicks title
Maybe Alica Keys hook as a sleeper.,reaction,"Emotional response, joke, or fan reaction",r/nba - Nike ad celebrating the Knicks title
So much steak is on his shirt,reaction,"Emotional response, joke, or fan reaction",r/nba - Nike ad celebrating the Knicks title
And they think AI can do it better,reaction,"Emotional response, joke, or fan reaction",r/nba - Nike ad celebrating the Knicks title
Thank goodness it isnt Empire State of Mind.,reaction,"Emotional response, joke, or fan reaction",r/nba - Nike ad celebrating the Knicks title
The 2025 Dodgers Nike ad goes so hard:,reaction,"Emotional response, joke, or fan reaction",r/nba - Nike ad celebrating the Knicks title
The dodgers sequel ad went kinda hard too.,reaction,"Emotional response, joke, or fan reaction",r/nba - Nike ad celebrating the Knicks title
"This is magic, man. This is absolute magic!!!!",reaction,"Emotional response, joke, or fan reaction",r/nba - Nike ad celebrating the Knicks title
This is making me cry in the car,reaction,"Emotional response, joke, or fan reaction",r/nba - Nike ad celebrating the Knicks title
Winfield did his big one with that article,reaction,"Emotional response, joke, or fan reaction",r/nba - Nike ad celebrating the Knicks title
It was like this but even crazier all night,reaction,"Emotional response, joke, or fan reaction",r/nba - Nike ad celebrating the Knicks title
"My hangover is intense, but my Knicks are champions.",reaction,"Emotional response, joke, or fan reaction",r/nba - Nike ad celebrating the Knicks title
They picked the perfect NY anthem for this commercial,reaction,"Emotional response, joke, or fan reaction",r/nba - Nike ad celebrating the Knicks title
Give me an OG Skechers commercial or give me nothing,reaction,"Emotional response, joke, or fan reaction",r/nba - Nike ad celebrating the Knicks title
God please let it be my Hawks turn next yr,reaction,"Emotional response, joke, or fan reaction",r/nba - Nike ad celebrating the Knicks title
"Old guard: Allan Houston, Latrell Sprewell, Charlie Ward, Kurt Thomas",reaction,"Emotional response, joke, or fan reaction",r/nba - Nike ad celebrating the Knicks title
Probably didn’t even bother making one after game 2 lol,reaction,"Emotional response, joke, or fan reaction",r/nba - Nike ad celebrating the Knicks title
I think they increased golf sales by 500 million that year,reaction,"Emotional response, joke, or fan reaction",r/nba - Nike ad celebrating the Knicks title
The ultimate super trainer. Ultralight upper meets Helion™ HF hyper foam.,reaction,"Emotional response, joke, or fan reaction",r/nba - Nike ad celebrating the Knicks title
"We earned teary eyed, bro. I had to watch Eddy Curry.",reaction,"Emotional response, joke, or fan reaction",r/nba - Nike ad celebrating the Knicks title
Yeah they are great at using the big moments for ads,reaction,"Emotional response, joke, or fan reaction",r/nba - Nike ad celebrating the Knicks title
I really became a fan right after the Knicks shipped out Ewing.,reaction,"Emotional response, joke, or fan reaction",r/nba - Nike ad celebrating the Knicks title
I’m in line at the deli rn struggling to maintain composure lmao,reaction,"Emotional response, joke, or fan reaction",r/nba - Nike ad celebrating the Knicks title
They were solid favorites entering the series they definitely had something ready,reaction,"Emotional response, joke, or fan reaction",r/nba - Nike ad celebrating the Knicks title
I got 3 hours bro and I've been facing wired all morning lol,reaction,"Emotional response, joke, or fan reaction",r/nba - Nike ad celebrating the Knicks title
7 ft 280...,reaction,Short joke or response,r/nba - Rank these players in terms of flopping
Doncic - 8.16,reaction,Short joke or response,r/nba - Rank these players in terms of flopping
LMAO sure thing bud,reaction,Short joke or response,r/nba - Rank these players in terms of flopping
Literally revolutionized the flop game,reaction,Short joke or response,r/nba - Rank these players in terms of flopping
Danny Green’s ACL says thank you.,reaction,Short joke or response,r/nba - Rank these players in terms of flopping
Shit you almost weren’t wrong.,reaction,Short agreement or conversational response,r/nba - What hot takes are you willing to admit you were wrong about?
Not entirely wrong tbh.,reaction,Short agreement or conversational response,r/nba - What hot takes are you willing to admit you were wrong about?
